Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Byron Marshall (11586793),Byron Marshall,11586793,RB/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,WAS,0
WR,Jehu Chesson (11586841),Jehu Chesson,11586841,WR/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,WAS,0
RB,Samaje Perine (11587010),Samaje Perine,11587010,RB/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,WAS,2
RB,Shaun Wilson (11587044),Shaun Wilson,11587044,RB/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,TB,1.28
WR,Justin Watson (11587052),Justin Watson,11587052,WR/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,TB,0.3
WR,Mike Wallace (11586399),Mike Wallace,11586399,WR/FLEX,3000,DAL@PHI 11/11/2018 08:20PM ET,PHI,0
WR,Terrance Williams (11586468),Terrance Williams,11586468,WR/FLEX,3000,DAL@PHI 11/11/2018 08:20PM ET,DAL,1.27
WR,Tavon Austin (11586561),Tavon Austin,11586561,WR/FLEX,3000,DAL@PHI 11/11/2018 08:20PM ET,DAL,6.25
RB,Jamize Olawale (11586644),Jamize Olawale,11586644,RB/FLEX,3000,DAL@PHI 11/11/2018 08:20PM ET,DAL,0.16
RB,Jay Ajayi (11586664),Jay Ajayi,11586664,RB/FLEX,3000,DAL@PHI 11/11/2018 08:20PM ET,PHI,11.1
WR,DeAndre Carter (11586762),DeAndre Carter,11586762,WR/FLEX,3000,DAL@PHI 11/11/2018 08:20PM ET,PHI,0.59
WR,Mack Hollins (11586857),Mack Hollins,11586857,WR/FLEX,3000,DAL@PHI 11/11/2018 08:20PM ET,PHI,0
WR,Shelton Gibson (11586909),Shelton Gibson,11586909,WR/FLEX,3000,DAL@PHI 11/11/2018 08:20PM ET,PHI,0.72
WR,Noah Brown (11587064),Noah Brown,11587064,WR/FLEX,3000,DAL@PHI 11/11/2018 08:20PM ET,DAL,0
WR,Nick Williams (11586555),Nick Williams,11586555,WR/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,LAR,0.92
RB,Tre Madden (11586688),Tre Madden,11586688,RB/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,SEA,0.25
RB,J.D. McKissic (11586752),J.D. McKissic,11586752,RB/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,SEA,0
WR,JoJo Natson Jr. (11586815),JoJo Natson Jr.,11586815,WR/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,LAR,0
RB,C.J. Prosise (11586853),C.J. Prosise,11586853,RB/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,SEA,1.3
RB,Justin Davis (11586876),Justin Davis,11586876,RB/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,LAR,0
WR,KhaDarel Hodge (11586988),KhaDarel Hodge,11586988,WR/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,LAR,0.34
WR,Malik Turner (11587042),Malik Turner,11587042,WR/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,SEA,0
RB,Marshawn Lynch (11586357),Marshawn Lynch,11586357,RB/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,OAK,13.67
WR,Dwayne Harris (11586381),Dwayne Harris,11586381,WR/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,OAK,1.19
WR,Geremy Davis (11586638),Geremy Davis,11586638,WR/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,LAC,0
RB,Keith Smith (11586640),Keith Smith,11586640,RB/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,OAK,0.78
RB,Derek Watt (11586730),Derek Watt,11586730,RB/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,LAC,0.01
WR,Marcell Ateman (11586937),Marcell Ateman,11586937,WR/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,OAK,0
WR,Artavis Scott (11587038),Artavis Scott,11587038,WR/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,LAC,0
RB,Justin Jackson (11587046),Justin Jackson,11587046,RB/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,LAC,0.92
RB,Detrez Newsome (11587056),Detrez Newsome,11587056,RB/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,LAC,0
WR,Isaiah McKenzie (11586282),Isaiah McKenzie,11586282,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,BUF,0
WR,Andre Roberts (11586385),Andre Roberts,11586385,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,1.3
RB,Patrick DiMarco (11586445),Patrick DiMarco,11586445,RB/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,BUF,0.49
WR,Terrelle Pryor (11586458),Terrelle Pryor,11586458,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,BUF,7.59
WR,Charone Peake (11586696),Charone Peake,11586696,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,0.4
WR,ArDarius Stewart (11586975),ArDarius Stewart,11586975,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,0
WR,Cam Phillips (11587070),Cam Phillips,11587070,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,BUF,0.95
WR,Ray-Ray McCloud III (11587096),Ray-Ray McCloud III,11587096,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,BUF,0.97
WR,Deontay Burnett (11587125),Deontay Burnett,11587125,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,4
DST,Jaguars  (11586311),Jaguars ,11586311,DST,2900,JAX@IND 11/11/2018 01:00PM ET,JAX,6
DST,Eagles  (11586302),Eagles ,11586302,DST,2900,DAL@PHI 11/11/2018 08:20PM ET,PHI,5.88
TE,Ed Dickson (11586361),Ed Dickson,11586361,TE/FLEX,2900,SEA@LAR 11/11/2018 04:25PM ET,SEA,6.7
DST,Colts  (11586293),Colts ,11586293,DST,2800,JAX@IND 11/11/2018 01:00PM ET,IND,6.75
DST,49ers  (11586307),49ers ,11586307,DST,2800,NYG@SF 11/12/2018 08:15PM ET,SF,4.56
TE,Vernon Davis (11586325),Vernon Davis,11586325,TE/FLEX,2800,WAS@TB 11/11/2018 01:00PM ET,WAS,5.52
DST,Patriots  (11586298),Patriots ,11586298,DST,2700,NE@TEN 11/11/2018 01:00PM ET,NE,8.22
TE,Geoff Swaim (11586878),Geoff Swaim,11586878,TE/FLEX,2700,DAL@PHI 11/11/2018 08:20PM ET,DAL,6.5
TE,Nick Vannett (11586726),Nick Vannett,11586726,TE/FLEX,2700,SEA@LAR 11/11/2018 04:25PM ET,SEA,6.11
TE,Charles Clay (11586429),Charles Clay,11586429,TE/FLEX,2700,BUF@NYJ 11/11/2018 01:00PM ET,BUF,3.88
TE,Josh Hill (11586498),Josh Hill,11586498,TE/FLEX,2600,NO@CIN 11/11/2018 01:00PM ET,NO,3.68
TE,Seth DeValve (11586770),Seth DeValve,11586770,TE/FLEX,2600,ATL@CLE 11/11/2018 01:00PM ET,CLE,2.4
TE,Nick O'Leary (11586720),Nick O'Leary,11586720,TE/FLEX,2600,MIA@GB 11/11/2018 04:25PM ET,MIA,3.84
